Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
3.29549E-4,53.261357291,0.569157786,0.103348902,0.444444444,0.714285714
3.3107E-4,53.525987201,0.57028649,0.10255391,0.444444444,0.714285714
3.31731E-4,53.758076819,0.570774672,0.101858293,0.46031746,0.714285714
3.32924E-4,54.02396784,0.571654188,0.101063301,0.46031746,0.714285714
3.34321E-4,54.257446778,0.572679071,0.100367684,0.46031746,0.714285714
3.3515E-4,54.525297084,0.573284983,0.099572692,0.476190476,0.714285714
3.3556E-4,54.760073668,0.573584435,0.098877074,0.476190476,0.714285714
3.36447E-4,55.028900065,0.57423011,0.098082083,0.476190476,0.714285714
3.37388E-4,55.264779733,0.574912595,0.097386465,0.476190476,0.714285714
3.39863E-4,55.501896246,0.576697892,0.096690848,0.476190476,0.714285714
3.40855E-4,55.774207947,0.577409285,0.095895856,0.476190476,0.714285714
3.41659E-4,56.013146942,0.577983933,0.095200238,0.476190476,0.714285714
3.43256E-4,56.252798322,0.579121246,0.094504621,0.476190476,0.714285714
3.45348E-4,56.528550622,0.580601504,0.093709629,0.476190476,0.714285714
3.46244E-4,56.770667116,0.581232111,0.093014012,0.476190476,0.714285714
3.47286E-4,57.013547536,0.581963589,0.092318394,0.476190476,0.714285714
3.48644E-4,57.257278476,0.582912627,0.091622777,0.476190476,0.714285714
3.49796E-4,57.501854803,0.583714483,0.090927159,0.476190476,0.714285714
3.50461E-4,57.781953636,0.584176039,0.090132167,0.476190476,0.714285714
3.52462E-4,58.028140348,0.585558194,0.08943655,0.476190476,0.714285714
3.53152E-4,58.275083546,0.58603248,0.088740932,0.476190476,0.714285714
3.54169E-4,58.522721632,0.586730111,0.088045315,0.476190476,0.714285714
3.55217E-4,58.771135693,0.587446578,0.087349697,0.476190476,0.714285714
3.5594E-4,59.020145016,0.587938675,0.086654079,0.476190476,0.714285714
3.57901E-4,59.270050957,0.589269583,0.085958462,0.476190476,0.714285714
3.59653E-4,59.521384146,0.590450878,0.085262844,0.476190476,0.714285714
3.60909E-4,59.773699648,0.591293756,0.084567226,0.476190476,0.714285714
3.61805E-4,60.026700459,0.591892783,0.083871609,0.476190476,0.714285714
3.62708E-4,60.28033332,0.592494537,0.083175991,0.476190476,0.714285714
3.64741E-4,60.53525246,0.593843234,0.082480374,0.476190476,0.714285714
3.66157E-4,60.754616839,0.594777783,0.08188413,0.476190476,0.714285714
3.67873E-4,61.011680062,0.595903892,0.081188512,0.507936508,0.714285714
3.69426E-4,61.269652215,0.596918351,0.080492895,0.507936508,0.714285714
3.70161E-4,61.528566213,0.597396314,0.079797277,0.507936508,0.714285714
3.70943E-4,61.750837666,0.597903923,0.079201033,0.507936508,0.714285714
3.72594E-4,62.011049357,0.598970733,0.078505416,0.507936508,0.714285714
3.74881E-4,62.273054339,0.600439714,0.077809798,0.507936508,0.714285714
3.769E-4,62.536099059,0.601727522,0.077114181,0.507936508,0.714285714
3.77787E-4,62.762555082,0.602291202,0.076517937,0.507936508,0.714285714
3.7898E-4,63.027438824,0.603045745,0.075822319,0.507936508,0.714285714
3.80019E-4,63.255136615,0.603701106,0.075226076,0.507936508,0.714285714
3.80408E-4,63.521282791,0.603945702,0.074530458,0.523809524,0.714285714
3.81051E-4,63.78778336,0.604349848,0.073834841,0.523809524,0.714285714
3.81788E-4,64.016721062,0.604811711,0.073238597,0.523809524,0.714285714
3.83258E-4,64.284455723,0.605730147,0.072542979,0.53968254,0.714285714
3.84028E-4,64.51463191,0.606209256,0.071946736,0.53968254,0.714285714
3.85982E-4,64.784290575,0.607419844,0.071251118,0.53968254,0.714285714
3.86869E-4,65.016068584,0.607967442,0.070654874,0.53968254,0.714285714
3.88089E-4,65.287255261,0.608717692,0.069959257,0.53968254,0.714285714
3.90584E-4,65.521266371,0.610242649,0.069363013,0.53968254,0.714285714
3.91363E-4,65.755882725,0.610716791,0.068766769,0.555555556,0.714285714
3.92658E-4,66.030349082,0.611501777,0.068071152,0.555555556,0.714285714
3.94264E-4,66.266466555,0.612470971,0.067474908,0.571428571,0.714285714
3.95797E-4,66.503449141,0.613391347,0.066878664,0.571428571,0.714285714
3.9759E-4,66.781236106,0.614462898,0.066183047,0.571428571,0.714285714
3.99129E-4,67.020266265,0.6153774,0.065586803,0.571428571,0.714285714
4.002E-4,67.260140043,0.616011672,0.064990559,0.571428571,0.714285714
4.02246E-4,67.500837783,0.617217255,0.064394316,0.571428571,0.714285714
4.03603E-4,67.782949113,0.618012554,0.063698698,0.571428571,0.714285714
4.05732E-4,68.026070592,0.61925395,0.063102455,0.603174603,0.714285714
4.06721E-4,68.269894957,0.619827535,0.062506211,0.603174603,0.714285714
4.08065E-4,68.51432139,0.620604582,0.061909967,0.603174603,0.714285714
4.09869E-4,68.759762029,0.621642771,0.061313724,0.603174603,0.714285714
4.10771E-4,69.005991752,0.622159738,0.06071748,0.603174603,0.714285714
4.12174E-4,69.252848884,0.622961137,0.060121236,0.603174603,0.714285714
4.13043E-4,69.500376382,0.623455409,0.059524993,0.603174603,0.714285714
4.14393E-4,69.79005249,0.624221088,0.058829375,0.603174603,0.714285714
4.15206E-4,70.039005732,0.624681041,0.058233131,0.619047619,0.714285714
4.16398E-4,70.28854257,0.625352933,0.057636888,0.619047619,0.714285714
4.16969E-4,70.538556496,0.625673889,0.057040644,0.619047619,0.714285714
4.18441E-4,70.789432067,0.626498609,0.0564444,0.619047619,0.714285714
4.19231E-4,71.040823339,0.626939755,0.055848157,0.619047619,0.714285714
4.20224E-4,71.250712049,0.627493278,0.055351287,0.619047619,0.714285714
