x,y,raw,cumulative,logistic
8169.0,8169.0,9.33253E-5,10.595174193,0.270070037
8170.0,8170.0,1.89215E-6,0.132157361,0.007445712
8171.0,8171.0,2.99807E-6,0.226884423,0.011746448
8172.0,8172.0,1.96877E-6,0.138925293,0.007744886
8173.0,8173.0,2.22511E-4,30.237455756,0.46869525
8174.0,8174.0,5.03458E-6,0.405971133,0.019569329
8175.0,8175.0,3.85643E-5,3.969264565,0.132615232
8176.0,8176.0,6.86502E-5,7.455405857,0.213940586
8177.0,8177.0,6.18182E-7,0.034387671,0.002444831
8178.0,8178.0,4.90035E-5,5.130406594,0.162673864
8179.0,8179.0,1.8627E-4,24.255983967,0.424784996
8180.0,8180.0,2.08307E-5,1.918190915,0.076284725
8181.0,8181.0,1.20889E-4,14.285534311,0.3239923
8182.0,8182.0,2.64024E-4,38.522663704,0.511418201
8183.0,8183.0,1.76049E-7,0.005649541,0.000697472
8184.0,8184.0,2.94907E-8,0.000361974,0.000116904
8185.0,8185.0,7.50282E-7,0.044051359,0.002965723
8186.0,8186.0,1.83165E-4,23.73891579,0.420683386
8187.0,8187.0,1.03054E-4,11.802143843,0.290056864
8188.0,8188.0,4.66258E-4,82.680224187,0.648939458
8189.0,8189.0,2.65416E-4,38.946372781,0.512731779
8190.0,8190.0,5.65511E-12,0.000000016,0.000000022
8191.0,8191.0,1.12334E-5,0.945317856,0.042636634
8192.0,8192.0,4.33206E-9,0.000031549,0.000017174
8193.0,8193.0,5.12093E-4,88.364006456,0.669991883
8194.0,8194.0,2.90392E-4,44.086686492,0.535160268
8195.0,8195.0,4.4458E-5,4.663532489,0.149845561
8196.0,8196.0,2.20799E-5,2.03184062,0.08049135
8197.0,8197.0,2.71241E-4,39.967638207,0.518154052
8198.0,8198.0,2.11298E-5,1.949674158,0.077295527
8199.0,8199.0,1.33438E-5,1.146570746,0.050244358
8200.0,8200.0,1.79092E-6,0.124246423,0.007050183
8201.0,8201.0,3.1099E-4,49.320966916,0.552160203
8202.0,8202.0,3.64498E-5,3.721459901,0.126261981
8203.0,8203.0,1.97953E-4,26.115110481,0.439712078
8204.0,8204.0,4.24893E-4,75.196841221,0.627493489
8205.0,8205.0,3.48428E-7,0.016109195,0.001379459
8206.0,8206.0,1.40817E-6,0.095337649,0.005551778
8207.0,8207.0,6.02419E-7,0.032982084,0.002382639
8208.0,8208.0,3.42132E-4,55.591437011,0.575624747
8209.0,8209.0,3.27594E-4,52.538878961,0.564984298
8210.0,8210.0,3.96111E-4,68.909484977,0.610956556
8211.0,8211.0,2.73484E-5,2.60876393,0.09781849
8212.0,8212.0,7.62688E-6,0.646639197,0.029349803
8213.0,8213.0,4.43037E-6,0.351974207,0.017261315
8214.0,8214.0,2.07518E-4,27.69494042,0.451369502
8215.0,8215.0,5.9106E-5,6.377045318,0.189843615
8216.0,8216.0,3.90417E-4,67.688768992,0.607510091
8217.0,8217.0,3.3082E-4,53.000214871,0.56739128
8218.0,8218.0,2.99654E-7,0.012796203,0.001186587
8219.0,8219.0,3.58207E-7,0.016604745,0.001418123
8220.0,8220.0,8.81536E-6,0.749263782,0.033768894
8221.0,8221.0,1.11361E-9,0.000007344,0.000004415
8222.0,8222.0,2.52215E-5,2.393386404,0.090902607
8223.0,8223.0,4.87188E-6,0.389126959,0.018948908
8224.0,8224.0,4.30617E-7,0.020666101,0.001704298
8225.0,8225.0,4.879E-5,5.120626266,0.162079789
8226.0,8226.0,2.3804E-4,33.138888986,0.485524378
8227.0,8227.0,3.71001E-5,3.80610083,0.128225681
8228.0,8228.0,1.50328E-4,18.722653173,0.373427657
8229.0,8229.0,1.61944E-6,0.110259579,0.00637941
8230.0,8230.0,3.06234E-6,0.23173303,0.011995238
8231.0,8231.0,1.95451E-6,0.137356313,0.007689189
8232.0,8232.0,1.07966E-4,12.425527433,0.299738298
8233.0,8233.0,7.06831E-5,7.699329907,0.218888963
8234.0,8234.0,6.49388E-7,0.036612406,0.002567929
8235.0,8235.0,7.44499E-5,8.186121267,0.227895692
8236.0,8236.0,2.83711E-5,2.717204941,0.101106665
8237.0,8237.0,1.40023E-7,0.003749672,0.000554823
8238.0,8238.0,3.44288E-8,0.000441623,0.000136477
8239.0,8239.0,2.19849E-7,0.008474348,0.000870848
8240.0,8240.0,2.67664E-5,2.541222664,0.095936605
8241.0,8241.0,3.40978E-4,55.250061062,0.574798901
8242.0,8242.0,2.37143E-5,2.180077668,0.085937415
8243.0,8243.0,5.68437E-5,6.105039562,0.183913604
8244.0,8244.0,2.62039E-6,0.193577582,0.010281914
8245.0,8245.0,3.67573E-4,61.938657002,0.593044144
8246.0,8246.0,4.42603E-7,0.021627055,0.001751654
8247.0,8247.0,9.96442E-5,11.38591301,0.283177861
8248.0,8248.0,2.77E-5,2.65554211,0.098951608
8249.0,8249.0,3.19067E-4,51.083652826,0.55849147
8250.0,8250.0,2.15881E-9,0.000014545,0.000008559
8251.0,8251.0,2.16663E-4,29.116854866,0.46206956
8252.0,8252.0,1.81115E-6,0.12568486,0.007129249
8253.0,8253.0,3.75431E-4,63.867656554,0.598138833
8254.0,8254.0,5.4297E-6,0.451529298,0.021072784
8255.0,8255.0,2.80829E-6,0.208549289,0.011011055
8256.0,8256.0,6.46441E-5,6.989775897,0.204002891
8257.0,8257.0,5.74401E-4,92.691071675,0.694866263
8258.0,8258.0,2.09388E-4,27.986917726,0.453591056
8259.0,8259.0,4.23828E-6,0.334240005,0.016525265
8260.0,8260.0,2.96067E-4,45.348133161,0.539971498
8261.0,8261.0,8.08434E-7,0.049142526,0.003194852
8262.0,8262.0,8.42885E-7,0.051960091,0.003330543
8263.0,8263.0,7.02506E-6,0.591748486,0.027096624
8264.0,8264.0,9.7463E-7,0.061556044,0.003849112
8265.0,8265.0,2.99797E-4,46.570252448,0.543079714
8266.0,8266.0,1.20107E-5,1.036287918,0.045452741
8267.0,8267.0,1.62095E-5,1.45437498,0.060383163
8268.0,8268.0,1.45744E-4,18.027157558,0.366211412
8269.0,8269.0,1.12815E-7,0.002745629,0.000447061
8270.0,8270.0,3.52105E-9,0.000025708,0.000013959
8271.0,8271.0,3.25929E-8,0.000418044,0.0001292
8272.0,8272.0,1.94558E-6,0.136576055,0.00765435
8273.0,8273.0,3.53572E-4,58.579168208,0.58363836
8274.0,8274.0,4.87658E-4,85.963760479,0.659093132
8275.0,8275.0,8.25791E-5,9.151135395,0.246642053
8276.0,8276.0,6.87068E-5,7.469143182,0.214079229
8277.0,8277.0,8.4191E-10,0.000005277,0.000003338
8278.0,8278.0,5.15423E-10,0.000002908,0.000002043
8279.0,8279.0,4.14049E-5,4.271698765,0.141005898
8280.0,8280.0,4.1088E-5,4.255175134,0.140077947
8281.0,8281.0,8.05707E-5,8.92252937,0.242095795
8282.0,8282.0,5.49072E-5,5.836226862,0.17876844
8283.0,8283.0,1.4831E-4,18.438994015,0.370271694
8284.0,8284.0,4.63787E-4,82.168422101,0.647727775
8285.0,8285.0,2.16214E-8,0.000238759,0.000085712
8286.0,8286.0,2.40755E-5,2.21114487,0.087132385
8287.0,8287.0,1.61368E-7,0.004826149,0.000639344
8288.0,8288.0,6.74008E-4,97.48324757,0.727679902
8289.0,8289.0,2.26462E-13,0,0.000000001
8290.0,8290.0,1.09267E-5,0.920915827,0.041520803
8291.0,8291.0,1.12374E-12,0.000000002,0.000000004
8292.0,8292.0,5.90502E-6,0.492750923,0.022875316
8293.0,8293.0,5.29743E-10,0.000003013,0.0000021
8294.0,8294.0,2.0371E-4,27.037495268,0.446786388
8295.0,8295.0,7.73798E-6,0.656616962,0.029764638
8296.0,8296.0,3.03055E-6,0.229298043,0.011872182
8297.0,8297.0,1.8342E-8,0.000202541,0.000072713
8298.0,8298.0,1.41869E-7,0.003848508,0.000562133
8299.0,8299.0,7.24375E-5,7.899789956,0.223109937
8300.0,8300.0,4.98488E-6,0.400467839,0.019379889
8301.0,8301.0,8.24213E-11,0.000000369,0.000000327
8302.0,8302.0,1.4317E-4,17.608279956,0.362084745
8303.0,8303.0,2.41735E-5,2.220810398,0.087455739
8304.0,8304.0,2.06496E-4,27.529365983,0.450146647
8305.0,8305.0,4.34857E-7,0.021012639,0.001721051
8306.0,8306.0,4.11891E-7,0.019272108,0.001630305
8307.0,8307.0,5.12609E-8,0.000760242,0.000203186
8308.0,8308.0,2.19099E-9,0.000015201,0.000008686
8309.0,8309.0,4.10251E-7,0.019148638,0.001623827
8310.0,8310.0,2.01286E-5,1.840317184,0.073903481
8311.0,8311.0,1.38148E-4,16.891437319,0.353878663
8312.0,8312.0,1.87445E-6,0.131025031,0.007376577
8313.0,8313.0,8.75764E-7,0.054535385,0.003460011
8314.0,8314.0,3.4326E-7,0.015693836,0.001359029
8315.0,8315.0,3.50878E-7,0.016214104,0.001389146
8316.0,8316.0,5.67784E-5,6.093672281,0.183741384
8317.0,8317.0,3.39098E-4,54.774194973,0.573447188
8318.0,8318.0,1.79703E-5,1.616822418,0.066506248
8319.0,8319.0,3.30763E-4,52.967132879,0.567348813
8320.0,8320.0,8.41141E-5,9.385023151,0.25008014
8321.0,8321.0,1.19883E-5,1.030287039,0.045372085
8322.0,8322.0,1.91575E-7,0.00655053,0.000758935
8323.0,8323.0,3.77478E-6,0.300308778,0.014744712
8324.0,8324.0,1.209E-5,1.044727483,0.045739389
8325.0,8325.0,2.77627E-4,41.504794373,0.523961237
8326.0,8326.0,1.70191E-5,1.529328183,0.063208357
8327.0,8327.0,2.33784E-4,32.431304896,0.481018791
8328.0,8328.0,6.70962E-7,0.037865701,0.002653016
8329.0,8329.0,1.20844E-4,14.273445396,0.323910371
8330.0,8330.0,2.04054E-4,27.159861415,0.447203821
8331.0,8331.0,1.9898E-4,26.313601263,0.4409879
8332.0,8332.0,1.62125E-5,1.457617246,0.060393856
8333.0,8333.0,1.6424E-6,0.111725596,0.006469261
8334.0,8334.0,8.30648E-5,9.209219981,0.247733379
8335.0,8335.0,2.16324E-4,29.051877405,0.4616805
8336.0,8336.0,3.78801E-6,0.30182139,0.014795605
8337.0,8337.0,1.33305E-4,16.117448761,0.34576216
8338.0,8338.0,1.24019E-4,14.689855057,0.329615191
8339.0,8339.0,1.13627E-6,0.072042889,0.004484617
8340.0,8340.0,2.04464E-6,0.145553896,0.008040949
8341.0,8341.0,1.77724E-5,1.597145112,0.065821948
8342.0,8342.0,5.89521E-6,0.492160421,0.022838178
8343.0,8343.0,1.39315E-9,0.000009111,0.000005523
8344.0,8344.0,1.01818E-5,0.8672024,0.038800145
8345.0,8345.0,2.96897E-7,0.012676848,0.001175685
8346.0,8346.0,5.08146E-5,5.355281648,0.167677828
8347.0,8347.0,1.21671E-4,14.358257885,0.325405059
8348.0,8348.0,1.35686E-4,16.467106406,0.349778363
8349.0,8349.0,6.46483E-5,6.996240722,0.204013259
8350.0,8350.0,4.37936E-5,4.54884234,0.147937314
8351.0,8351.0,8.0957E-6,0.681949039,0.031097832
8352.0,8352.0,1.27838E-7,0.003346333,0.000506567
8353.0,8353.0,2.13933E-7,0.007974755,0.000847431
8354.0,8354.0,4.08827E-6,0.324648967,0.015949712
8355.0,8355.0,3.86675E-7,0.017994241,0.001530651
8356.0,8356.0,6.42673E-6,0.539249641,0.02484615
8357.0,8357.0,5.02588E-5,5.269330559,0.166148647
8358.0,8358.0,3.77217E-6,0.2999313,0.014734657
8359.0,8359.0,3.07325E-4,48.300774423,0.549227109
8360.0,8360.0,3.61507E-6,0.281139566,0.014129668
8361.0,8361.0,5.13658E-4,88.569169924,0.670666024
8362.0,8362.0,1.34659E-6,0.090635373,0.005310301
8363.0,8363.0,4.32716E-7,0.020838998,0.001712592
8364.0,8364.0,2.28372E-5,2.110445368,0.08302273
8365.0,8365.0,6.56098E-4,96.816985986,0.722310472
8366.0,8366.0,1.45236E-5,1.269470132,0.054444719
8367.0,8367.0,9.58358E-5,10.907138116,0.275334608
8368.0,8368.0,3.09463E-5,3.029171433,0.109281159
8369.0,8369.0,1.08495E-7,0.002536494,0.000429952
8370.0,8370.0,2.89473E-7,0.012209249,0.001146319
